"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23859","8 Username field should be available","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","13762","8 Username field should be available","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","12865","11 Refresh dashboard","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","38140","8 Refresh login page","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","14732","3 Empty username","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","12258","7 Employee name field should be available","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","16903","8 Username field should be available","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","17203","13 Pagination validation if available","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","17975","6 User role dropdown should open","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","15980","11 Refresh dashboard","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","9852","4 Empty password","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","20409","1 Valid login","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","14883","4 Open Add User form","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","16490","10 Confirm password field should be available","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","11603","9 Logout","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","17580","4 Open Add User form","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","17495","9 Logout","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","14137","8 Refresh login page","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","28322","6 User role dropdown should open","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","19954","1 Open Admin module","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","14605","2 Invalid password","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","21399","5 Required validation on empty Add User form","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","12420","1 Valid login","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","17499","1 Open Admin module","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","27958","12 Multi tab","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","23402","12 User table should be visible","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
